episode,first_reach_step
1383,97
1401,89
1407,100
1428,85
1490,86
1511,84
1534,80
1543,73
1547,73
1576,72
1581,78
1586,76
1595,74
1596,76
1605,72
1613,75
1614,76
1618,73
1619,75
1620,75
1621,85
1622,75
1623,77
1632,76
1633,73
1634,82
1635,78
1636,74
1637,74
1640,74
1641,75
1643,76
1644,79
1645,76
1646,73
1648,78
1649,74
1652,75
1661,71
1663,75
1682,74
1684,75
1693,77
1695,75
1704,76
1715,76
1727,85
1730,79
1762,79
1771,78
1799,82
1806,79
1812,75
1819,69
1827,76
1835,83
1837,78
1857,80
1863,79
1885,75
1904,72
1909,77
1910,71
1912,76
1919,77
1921,75
1922,82
1935,71
1936,73
1940,70
1941,81
1944,78
1954,77
1960,74
1962,74
1964,82
1966,73
1967,79
1971,79
1974,72
1975,76
1976,79
1977,77
1978,73
1980,72
1982,83
1983,73
1984,75
1985,72
1987,75
1988,78
1991,76
1992,72
1994,76
1995,80
1998,80
1999,77
2001,75
2002,71
2003,76
2005,74
2006,75
2007,76
2012,72
2018,74
2020,72
2021,82
2023,74
2024,80
2025,72
2026,78
2029,77
2032,81
2034,76
2035,77
2036,74
2080,83
2083,86
2085,92
2130,73
2161,75
2163,79
2168,74
2169,76
2170,73
2172,80
2173,72
2174,78
2175,76
2180,72
2181,78
2189,76
2192,72
2193,74
2196,70
2200,79
2203,72
2205,74
2206,76
2210,76
2213,75
2215,72
2216,75
2217,77
2218,78
2224,72
2230,73
2231,75
2232,73
2234,72
2236,76
2240,75
2242,71
2243,80
2248,77
2251,76
2253,80
2260,77
2263,79
2275,78
2328,74
2329,74
2333,81
2342,73
2357,74
2362,79
2367,77
2368,75
2369,70
2370,76
2371,72
2372,77
2374,79
2378,76
2381,75
2382,72
2383,75
2386,77
2389,79
2390,71
2395,73
2398,75
2399,73
2400,78
2401,75
2407,77
2408,76
2414,74
2416,78
2417,81
2426,78
2428,79
2430,73
2458,76
2464,72
2465,82
2491,83
2494,84
2497,77
2498,75
2499,73
2500,78
2501,79
2502,83
2503,79
2504,80
2505,79
2507,75
2508,79
2510,77
2518,81
2519,79
2522,82
2525,80
2531,78
2535,76
2536,73
2537,75
2538,72
2539,75
2541,77
2542,72
2543,71
2551,77
2552,74
2553,74
2555,71
2556,77
2557,71
2561,72
2586,78
2588,75
2591,80
2594,72
2595,76
2596,71
2597,73
2598,75
2599,72
2600,74
2601,75
2602,75
2603,73
2618,69
2625,74
2627,82
2628,86
2643,81
2644,78
2645,71
2647,74
2656,72
2658,74
2659,74
2663,75
2666,76
2669,76
2671,78
2672,74
2674,73
2675,80
2676,74
2677,71
2678,77
2688,80
2689,74
2691,76
2693,75
2694,77
2703,72
2709,80
2710,72
2714,81
2715,73
2716,75
2717,75
2734,74
2735,80
2743,81
2754,74
2757,76
2758,75
2761,78
2764,78
2766,77
2771,75
2772,78
2775,79
2776,77
2777,72
2778,72
2779,76
2780,76
2781,84
2791,78
2792,77
2794,81
2798,72
2806,80
2807,77
2808,76
2810,74
2814,72
2816,76
2819,72
2822,72
2825,71
2828,71
2832,75
2833,82
2835,83
2836,76
2837,72
2839,73
2840,86
2841,76
2843,70
2844,75
2845,75
2846,71
2847,77
2851,76
2858,79
2859,78
2860,74
2867,79
2868,81
2872,84
2875,74
2877,85
2878,70
2881,77
2883,73
2885,76
2888,76
2889,78
2890,77
2891,72
2892,81
2893,73
2894,71
2901,76
2902,79
2903,77
2907,81
2909,82
2910,78
2913,71
2914,85
2915,82
2916,73
2920,73
2924,70
2928,75
2929,75
2930,71
2931,72
2933,73
2942,87
2943,81
2944,74
2945,81
2946,81
2947,76
2956,70
2957,76
2958,82
2959,76
2960,80
2968,79
2970,69
2971,70
2972,68
2973,73
2974,72
2975,80
2977,77
2978,75
2979,84
2980,74
2981,76
2982,68
2988,74
2989,73
2995,76
3006,81
3008,71
3015,70
3017,85
3025,69
3030,67
3031,78
3032,74
3033,74
3034,70
3035,71
3036,68
3037,73
3039,78
3048,71
3050,71
3054,74
3058,78
3059,76
3065,76
3067,78
3079,72
3096,72
3097,95
3098,77
3102,74
3104,74
3106,78
3109,69
3113,75
3114,89
3116,75
3117,74
3120,79
3123,79
3127,78
3128,69
3130,79
3133,73
3134,72
3137,76
3138,72
3139,74
3146,75
3148,69
3150,80
3166,69
3170,80
3171,70
3177,78
3182,72
3183,72
3185,84
3206,78
3209,77
3225,73
3228,75
3229,72
3235,75
3240,75
3241,74
3242,68
3243,76
3244,77
3245,74
3246,71
3248,76
3249,74
3250,71
3256,75
3257,79
3258,74
3261,72
3262,76
3263,78
3266,76
3267,73
3270,78
3271,71
3272,76
3282,81
3293,78
3296,78
3302,70
3308,71
3309,74
3312,73
3313,74
3342,73
3344,70
3358,66
3360,81
3365,79
3367,83
3368,72
3370,82
3373,82
3379,76
3380,71
3381,78
3385,70
3387,80
3388,75
3392,72
3394,86
3397,85
3398,76
3399,72
3400,80
3401,73
3403,74
3406,79
3410,72
3411,78
3412,73
3415,77
3416,76
3417,83
3418,77
3420,68
3421,74
3424,71
3438,81
3453,76
3458,71
3468,74
3470,73
3473,74
3474,77
3477,75
3478,77
3479,69
3480,75
3490,82
3492,72
3494,81
3496,73
3512,75
3524,75
3536,76
3537,73
3538,72
3539,73
3542,72
3546,71
3549,73
3550,76
3552,75
3553,73
3554,68
3555,74
3556,75
3558,74
3560,68
3561,72
3564,81
3565,71
3566,74
3567,76
3568,70
3569,76
3570,75
3572,77
3573,79
3574,77
3575,78
3577,73
3580,71
3581,71
3582,73
3583,69
3584,74
3585,74
3586,68
3587,75
3588,75
3589,69
3593,70
3597,74
3598,70
3599,72
3600,74
3603,78
3608,71
3613,68
3615,70
3616,76
3619,71
3630,74
3633,74
3646,75
3647,76
3658,75
3659,69
3663,68
3668,75
3669,73
3673,68
3675,73
3676,72
3678,70
3684,76
3685,76
3687,67
3688,71
3691,73
3695,76
3696,73
3697,71
3698,75
3700,77
3701,69
3702,73
3703,79
3704,69
3707,76
3711,75
3714,77
3715,71
3718,66
3730,66
3733,72
3734,69
3735,75
3736,74
3737,72
3738,74
3739,66
3740,77
3741,72
3742,75
3743,73
3744,71
3745,72
3748,73
3749,68
3750,69
3751,74
3752,67
3753,70
3754,73
3757,73
3758,73
3759,74
3760,72
3762,74
3764,74
3772,69
3774,69
3776,75
3777,73
3778,72
3779,71
3780,76
3782,72
3783,72
3784,74
3785,76
3788,70
3789,73
3790,67
3791,71
3792,68
3793,70
3794,67
3796,78
3797,73
3798,74
3800,70
3801,69
3802,71
3805,72
3806,67
3809,72
3820,69
3822,76
3823,70
3825,73
3832,68
3833,71
3835,71
3836,69
3837,70
3841,74
3844,74
3853,75
3863,66
3864,71
3865,69
3874,69
3875,71
3876,72
3897,73
3915,72
3920,77
3921,74
3922,73
3927,70
3930,78
3931,76
3934,74
3936,72
3951,75
3952,70
3953,68
3954,71
3967,71
3969,78
3970,69
3972,72
3973,70
3997,75
3999,73
4005,76
4014,71
4017,76
4023,76
4025,74
4026,72
4041,71
4042,70
4047,70
4050,74
4052,70
4056,77
4059,74
4060,77
4061,73
4075,71
4076,73
4079,75
4081,74
4083,69
4088,79
4089,75
4092,74
4094,76
4095,69
4096,69
4097,70
4100,72
4102,73
4103,74
4106,79
4107,79
4108,73
4109,76
4110,75
4113,76
4114,69
4118,73
4119,72
4131,75
4135,73
4137,75
4138,74
4139,74
4140,77
4141,68
4142,71
4143,74
4144,71
4145,74
4146,70
4147,68
4148,71
4149,74
4150,72
4151,75
4152,72
4153,73
4154,69
4155,72
4156,73
4158,77
4159,71
4160,74
4161,68
4162,76
4163,74
4166,69
4168,80
4169,70
4170,73
4171,72
4172,71
4192,72
4193,74
4194,79
4195,72
4197,70
4198,70
4201,73
4204,77
4206,71
4211,71
4213,75
4215,69
4216,74
4217,69
4218,81
4221,73
4222,68
4223,71
4225,74
4232,73
4233,75
4236,73
4237,71
4238,77
4239,70
4242,77
4245,72
4246,70
4247,68
4248,76
4249,70
4250,73
4252,72
4253,70
4254,71
4255,74
4256,73
4257,77
4258,74
4260,71
4262,71
4263,72
4265,75
4266,69
4268,71
4270,72
4271,71
4272,76
4273,72
4274,68
4276,68
4280,72
4281,70
4282,67
4283,70
4284,74
4285,71
4287,72
4288,73
4289,75
4291,75
4292,70
4293,76
4294,66
4296,71
4297,72
4302,72
4303,69
4305,73
4309,75
4310,74
4319,72
4322,73
4323,73
4324,73
4325,73
4332,74
4336,74
4339,70
4340,70
4347,70
4349,70
4350,72
4351,73
4353,74
4354,74
4356,77
4358,72
4360,73
4362,70
4363,70
4365,75
4367,69
4368,70
4370,67
4372,68
4378,69
4380,70
4388,71
4390,70
4393,74
4394,72
4395,74
4398,73
4399,73
4400,76
4401,73
4403,73
4404,75
4413,72
4420,71
4422,73
4426,69
4428,72
4429,72
4431,71
4450,74
4453,75
4469,73
4476,76
4487,72
4493,70
4498,84
4499,85
4513,71
4514,65
4516,68
4518,76
4521,71
4522,70
4525,66
4526,77
4527,71
4550,97
4551,116
4554,100
4558,71
4561,72
4563,77
4564,71
4567,74
4568,72
4569,73
4570,72
4576,77
4581,79
4583,77
4586,72
4596,76
4598,73
4599,72
4600,68
4601,75
4602,78
4603,70
4611,69
4613,72
4614,72
4615,73
4618,70
4620,70
4634,70
4637,70
4645,69
4648,73
4649,76
4650,73
4652,71
4653,77
4656,74
4657,73
4662,87
4664,80
4668,67
4669,73
4670,72
4671,71
4673,70
4674,70
4675,70
4676,74
4677,73
4678,75
4679,78
4680,72
4682,77
4684,76
4685,71
4688,67
4693,76
4695,72
4696,73
4697,71
4699,71
4701,74
4703,72
4704,74
4705,74
4727,78
4728,72
4729,79
4734,77
4736,72
4737,70
4739,77
4741,75
4742,74
4744,77
4747,75
4754,76
4765,72
4767,76
4768,70
4770,78
4774,68
4775,72
4776,80
4777,71
4778,74
4779,69
4781,80
4783,75
4792,71
4799,67
4806,76
4818,74
4823,80
4830,75
4832,74
4836,77
4837,74
4843,71
4844,71
4846,77
4847,72
4848,76
4851,72
4853,79
4856,76
4857,77
4858,73
4859,80
4860,69
4861,73
4862,77
4863,73
4864,82
4865,78
4875,72
4879,69
4880,70
4881,78
4882,77
4883,78
4887,73
4888,83
4889,78
4890,73
4891,72
4894,79
