episode,first_reach_step
4221,73
4236,73
4674,70
4678,75
4679,78
4682,77
4684,76
4695,72
4697,71
4699,71
4701,74
4703,72
4704,74
4705,74
4765,72
4775,72
4777,71
4778,74
4881,78
4889,78
4897,74
4904,73
4907,73
4908,79
4946,76
4947,72
4948,73
4949,72
4950,71
5097,75
5104,74
6086,72
6149,72
6234,73
6260,72
6270,72
6271,76
6273,74
6274,75
6277,72
6280,70
6286,78
6287,74
6288,74
6291,72
6292,73
6294,74
6295,76
6296,71
6297,76
6303,70
6305,70
6307,73
6310,74
6327,68
6338,76
6344,75
6350,70
6363,69
6403,79
6404,77
6406,77
6426,72
6431,73
6432,71
6433,71
6436,76
6446,69
6447,71
6457,73
6458,98
6461,76
6569,76
6620,77
6630,78
6631,74
6633,73
6648,71
6651,73
6670,73
6683,72
6686,70
6702,71
6710,73
6712,73
6713,82
6775,71
6777,72
6779,74
6783,80
6787,73
6797,71
6822,74
6829,70
6879,70
6882,73
6888,80
6889,72
6896,72
6932,72
6947,76
6974,76
7025,72
7026,76
7029,75
7030,71
7032,74
7033,76
7034,73
7035,78
7036,74
7039,71
7043,76
7045,77
7047,75
7059,72
7060,72
7068,72
7073,69
7074,80
7076,71
7094,73
7096,70
7100,77
7101,77
7104,72
7107,76
7111,73
7130,71
7132,70
7135,75
7136,70
7157,73
7158,74
7163,71
7164,80
7167,77
7168,73
7169,69
7171,77
7172,71
7173,71
7176,68
7182,70
7184,69
7185,70
7186,72
7188,75
7191,80
7199,79
7206,77
7209,74
7210,76
7212,79
7213,73
7222,73
7241,75
7248,73
7250,72
7252,72
7253,73
7259,68
7262,75
7266,71
7287,73
7288,72
7347,71
7420,76
8112,74
8114,72
8120,77
8125,71
8137,77
8143,74
8246,76
8408,74
8524,76
8618,76
8620,72
8621,74
8655,75
8660,71
8671,73
8676,78
8678,75
8685,75
8686,71
8688,71
8689,78
8691,73
8692,76
8694,73
9050,80
9054,78
9081,74
9084,77
9106,76
9109,71
9111,80
9134,71
9137,71
9138,71
9143,77
9144,73
9147,75
9152,70
9153,72
9156,68
9157,70
9159,72
9162,72
9166,71
9176,73
9177,72
9179,77
9182,74
9184,79
9187,73
9192,74
9194,70
9196,71
9199,75
9201,70
9206,76
9208,69
9209,75
9213,72
9214,77
9277,72
9287,73
9292,75
9296,76
9318,74
9319,78
9321,75
9323,70
9332,76
9375,73
9377,72
9402,73
9413,74
9418,77
9426,77
9428,82
9430,79
9431,79
9432,80
9435,76
9439,75
9443,73
9444,75
9445,76
9447,71
9451,77
9455,82
9456,76
9465,75
9467,72
9470,74
9473,74
9474,75
9477,78
9478,75
9482,79
9494,72
9500,80
9506,79
9511,73
9521,76
9525,73
9556,77
9559,74
9571,74
9575,74
9576,74
9616,76
